"rain" "evaporation" "flow"
"1" 0 4.6004 0.28995124
"2" 0 4.3092 0.24476064
"3" 0 4.3286 0.21338209
"4" 0 4.7777 0.19329787
"5" 0 2.911 0.18325798
"6" 0 3.5714 0.17447252
"7" 1.3518 1.4499 0.17195922
"8" 0 4.6986 0.16694149
"9" 0 4.277 0.16442819
"10" 12.5646 2.2313 0.16191933
"11" 23.6461 0.6898 1.2677438
"12" 0 4.3483 2.3848626
"13" 0 4.2969 1.4309176
"14" 0 2.8019 0.87361259
"15" 0 3.4152 0.56985816
"16" 0 3.489 0.39287677
"17" 4.7483 1.3606 0.31379876
"18" 0 3.7 0.26986702
"19" 0 3.483 0.25103723
"20" 0 2.636 0.23472074
"21" 0 3.2378 0.22342199
"22" 0 2.5811 0.21338209
"23" 0 3.1544 0.20835993
"24" 0.5374 1.5535 0.2008289
"25" 0 1.7884 0.19832004
"26" 0 1.7984 0.19329787
"27" 0 2.7432 0.19078901
"28" 0 3.4122 0.19078901
"29" 0 3.4584 0.18576684
"30" 0 2.1924 0.18576684
"31" 1.6709 1.3136 0.18074911
"32" 7.0192 0.4878 0.18576684
"33" 1.1277 3.1253 0.19078901
"34" 0 0.8816 0.19581117
"35" 0 2.3354 0.20585106
"36" 28.6708 1.0315 0.21338209
"37" 0.113 2.9212 0.46191046
"38" 0 2.4237 0.66148493
"39" 0 1.925 0.53345745
"40" 22.0429 0.6348 0.49705674
"41" 0.0571 2.4984 0.68031472
"42" 0 1.4707 0.55102837
"43" 0.3167 1.2746 0.44057181
"44" 0.0107 0.9586 0.36023936
"45" 0 0.7844 0.32007535
"46" 0 1.3233 0.2962234
"47" 46.2152 0.3135 0.43931738
"48" 0 1.4114 2.4601773
"49" 42.5345 0.6293 2.6861082
"50" 15.0519 2.1522 7.3554255
"51" 0 2.766 7.4809441
"52" 30.9247 0.8546 6.1504388
"53" 3.4821 0.3615 7.8198449
"54" 8.7501 0.4088 6.6525177
"55" 0 1.843 5.1839406
"56" 0 2.2848 3.6902615
"57" 83.5852 0.2455 5.8366401
"58" 17.5263 0.2235 13.932629
"59" 44.7221 0.5125 16.191968
